number,name,height_cm,height_in,weight_kg,weight_lb,birth_day,birth_month,birth_state,presidency_begin_age,percentage_votes,political_party
1,George Washington,188,74,79.4,175,22,2,Virginia,57,100,Unaffiliated
2,John Adams,170,67,83.9,185,30,10,Massachusetts,61,53.4,Federalist
3,Thomas Jefferson,189,74.5,82.1,181,13,4,Virginia,57,61.4,Democratic-Republican
4,James Madison,163,64,55.3,122,16,3,Virginia,57,64.8,Democratic-Republican
5,James Monroe,183,72,85.7,189,28,4,Virginia,58,68.2,Democratic-Republican
6,John Quincy Adams,171,67.5,92.1,203,11,7,Massachusetts,57,30.9,Democratic-Republican
7,Andrew Jackson,185,73,63.5,140,15,3,South Carolina,61,55.5,Democrat
8,Martin Van Buren,168,66,74.4,164,5,12,New York,54,50.8,Democrat
9,William Henry Harrison,173,68,73.5,162,9,2,Virginia,68,52.9,Whig
10,John Tyler,183,72,72.6,160,29,3,Virginia,51,52.9,Whig
11,James Knox Polk,173,68,78.9,174,2,11,North Carolina,49,49.5,Democrat
12,Zachary Taylor,173,68,104.3,230,24,11,Virginia,64,47.3,Whig
13,Millard Fillmore,175,69,65.3,144,7,1,New York,50,50.8,Whig
14,Franklin Pierce,178,70,73.5,162,23,11,New Hampshire,48,50.8,Democrat
15,James Buchanan,183,72,98.4,217,23,4,Pennsylvania,65,45.3,Democrat
16,Abraham Lincoln,193,76,83.9,185,12,2,Kentucky,52,47.4,Republican
17,Andrew Johnson,178,70,69.9,154,29,12,North Carolina,56,55,National Union
18,Ulysses Simpson Grant,173,68,70.8,156,27,4,Ohio,46,54.2,Republican
19,Rutherford Birchard Hayes,174,68.5,79.4,175,4,10,Ohio,54,47.9,Republican
20,James Abram Garfield,183,72,90.7,200,19,11,Ohio,49,48.32,Republican
21,Chester Alan Arthur,188,74,101.6,224,5,10,Vermont,51,48.32,Republican
22,Stephen Grover Cleveland,180,71,117.9,260,18,3,New Jersey,47,47.43,Democrat
23,Benjamin Harrison,168,66,72.6,160,20,8,Ohio,55,47.8,Republican
24,William McKinley,170,67,90.3,199,29,1,Ohio,54,51.1,Republican
25,Theodore Roosevelt,178,70,107.5,237,27,10,New York,42,54,Republican
26,William Howard Taft,182,71.5,154.2,340,15,9,Ohio,51,51.6,Republican
27,Thomas Woodrow Wilson,180,71,77.1,170,28,12,Virginia,56,45.5,Democrat
28,Warren Gamal Harding,183,72,78.5,173,2,11,Ohio,55,60.2,Republican
29,John Calvin Coolidge,178,70,70.8,156,4,7,Vermont,51,54,Republican
30,Herbert Clark Hoover,182,71.5,84.8,187,10,8,Iowa,54,58.2,Republican
31,Franklin Delano Roosevelt,188,74,86.2,190,30,1,New York,51,55.15,Democrat
32,Harry S Truman,175,69,75.7,167,8,5,Missouri,60,49.6,Democrat
33,Dwight David Eisenhower,179,70.5,78,172,14,10,Texas,62,56.3,Republican
34,John Fitzgerald Kennedy,185,73,79.4,175,29,5,Massachusetts,43,49.72,Democrat
35,Lyndon Baines Johnson,192,75.5,95.3,210,27,8,Texas,55,49.72,Democrat
36,Richard Milhous Nixon,182,71.5,79.4,175,9,1,California,56,52.1,Republican
37,James Earl Carter,177,69.5,80.3,177,1,10,Georgia,52,50.1,Democrat
38,Ronald Wilson Reagan,185,73,81.6,180,6,2,Illinois,69,54.75,Republican
39,George Herbert Walker Bush,188,74,88.5,195,12,6,Massachusetts,64,53.4,Republican
40,William Jefferson Clinton,188,74,101.2,223,19,8,Arkansas,46,46.1,Democrat
41,George Walker Bush,182,71.5,84.4,186,6,6,Connecticut,54,49.3,Republican
42,Barack Hussein Obama,185,73,81.6,180,4,8,Hawaii,47,52,Democrat
43,Donald John Trump,191,75,107.5,237,14,6,New York,70,46.1,Republican
44,Joseph Robinette Biden,182,71.5,80.7,178,20,11,Pennsylvania,78,51.3,Democrat
